CustomerID,DaySinceLastOrder,OrderCount,Estimated_Spend,R_Score,F_Score,M_Score,RFM_Segment,Churn
50001,5.0,1.0,879.62,2,1,1,Lost / Low Value,1
50002,0.0,1.0,664.95,4,1,1,Potential Loyalists,1
50003,3.0,1.0,661.54,3,1,1,Potential Loyalists,1
50004,3.0,1.0,737.38,3,1,1,Potential Loyalists,1
50005,3.0,1.0,712.8,3,1,1,Potential Loyalists,1
50006,7.0,6.0,4593.27,2,4,4,At-Risk High-Value,1
50007,0.0,1.0,664.73,4,1,1,Potential Loyalists,1
50008,0.0,2.0,1352.23,4,2,2,Loyal Customers,1
50009,2.0,1.0,697.56,4,1,1,Potential Loyalists,1
50010,1.0,1.0,676.12,4,1,1,Potential Loyalists,1
50011,8.0,15.0,24374.62,1,4,4,At-Risk High-Value,1
50012,0.0,1.0,845.96,4,1,1,Potential Loyalists,1
50013,2.0,2.0,1478.51,4,2,2,Loyal Customers,1
50014,0.0,1.0,736.34,4,1,1,Potential Loyalists,1
50015,7.0,4.0,4316.18,2,4,4,At-Risk High-Value,1
50016,2.0,1.0,664.02,4,1,1,Potential Loyalists,1
50017,0.0,1.0,710.93,4,1,1,Potential Loyalists,1
50018,3.0,1.0,865.92,3,1,1,Potential Loyalists,1
50019,6.0,1.0,884.07,2,1,1,Lost / Low Value,1
50020,3.0,4.0,3291.86,3,4,4,Champions,1
50021,7.0,7.0,6226.22,2,4,4,At-Risk High-Value,1
50022,6.0,15.0,16757.4,2,4,4,At-Risk High-Value,1
50023,0.0,1.0,642.12,4,1,1,Potential Loyalists,1
50024,2.0,2.0,1601.49,4,2,2,Loyal Customers,1
50025,3.0,1.0,1135.75,3,1,2,Potential Loyalists,1
50026,4.0,1.0,781.0,2,1,1,Lost / Low Value,1
50027,6.0,1.0,951.22,2,1,2,Lost / Low Value,0
50028,5.0,4.0,2707.32,2,4,3,At-Risk High-Value,0
50029,15.0,1.0,679.14,1,1,1,Lost / Low Value,0
