CustomerID,Tenure,RFM_Segment,Estimated_Spend,SatisfactionScore,Complain,WarehouseToHome,Churn,Churn_Probability,Risk_Level,Prescribed_Intervention
50001,4.0,Lost / Low Value,879.62,2,1,6.0,1,0.954,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50002,9.0,Potential Loyalists,664.95,3,1,8.0,1,0.986,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50003,9.0,Potential Loyalists,661.54,3,1,30.0,1,0.996,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50004,0.0,Potential Loyalists,737.38,5,0,15.0,1,0.973,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50005,0.0,Potential Loyalists,712.8,5,0,12.0,1,0.959,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50006,0.0,At-Risk High-Value,4593.27,5,1,22.0,1,1.0,High Risk,"Priority 1: Executive Concierge Call + ₹1,000 Credit"
50007,9.0,Potential Loyalists,664.73,2,0,11.0,1,0.969,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50008,9.0,Loyal Customers,1352.23,2,1,6.0,1,0.689,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50009,13.0,Potential Loyalists,697.56,3,1,9.0,1,0.975,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50010,9.0,Potential Loyalists,676.12,3,0,31.0,1,0.915,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50011,4.0,At-Risk High-Value,24374.62,3,0,18.0,1,0.589,Medium Risk,Priority 3: Personalized Recommendation + Free Shipping
50012,11.0,Potential Loyalists,845.96,3,1,6.0,1,0.99,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50013,0.0,Loyal Customers,1478.51,3,1,11.0,1,0.915,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
50014,0.0,Potential Loyalists,736.34,3,1,15.0,1,0.857,High Risk,Priority 2: 25% Comeback Voucher + Free Express Delivery
